"objid","specobjid","ra","dec","u","g","r","i","z","run","rerun","camcol","field","plate","mjd","fiberid","petroRad_u","petroRad_g","petroRad_i","petroRad_r","petroRad_z","petroFlux_u","petroFlux_g","petroFlux_i","petroFlux_r","petroFlux_z","petroR50_u","petroR50_g","petroR50_i","petroR50_r","petroR50_z","psfMag_u","psfMag_r","psfMag_g","psfMag_i","psfMag_z","expAB_u","expAB_g","expAB_r","expAB_i","expAB_z","redshift","class"
"1.24E+18","7.42E+17","17.76130687","-10.38694305","18.47856","16.39939","15.48466","15.06498","14.75403","1740","301","2","139","659","52199","109","5.606648","8.091578","7.449183","7.699345","6.514283","24.66894","265.619","873.5538","600.2003","1070.8","1.727979","3.196911","2.999659","3.082792","2.616644","19.93272","17.1656","18.01253","16.78455","16.45203","0.8713337","0.8320351","0.9082581","0.8681641","0.8104011","0.06188485","GALAXY"
"1.24E+18","3.21E+18","17.75235699","-10.3270855","18.32697","17.21158","16.79786","16.64674","16.62827","1740","301","2","139","2849","54454","259","1.552899","1.346646","1.1179","1.198595","1.141176","43.59516","125.0626","206.7005","178.9441","210.0305","0.7697937","0.6836905","0.5802425","0.6150946","0.6065779","18.32122","16.77897","17.23546","16.61604","16.61987","0.108465","0.8048677","0.774679","0.6227092","0.5194205","0.000127523","STAR"
"1.24E+18","7.42E+17","17.7918363","-10.27550818","17.0168","16.88235","16.52536","16.14049","16.10094","1740","301","2","139","659","52199","111","1.722553","1.588064","1.468182","1.550727","1.971739","144.7307","170.8386","344.9865","239.7972","365.4829","0.8713244","0.7980557","0.7380415","0.7624045","0.8299919","17.14068","16.73811","17.0983","16.3761","16.41604","0.8275703","0.8100054","0.9086754","0.7842295","0.9392915","0.1784386","QSO"
"1.24E+18","3.21E+18","17.79366797","-10.21347772","16.82536","15.7505","15.47769","15.39675","15.41418","1740","301","2","139","2849","54454","250","1.626124","1.349143","1.109289","1.193107","1.141498","173.7965","480.3862","654.7106","609.9548","636.7139","0.8058061","0.6814224","0.5744287","0.6097009","0.5901282","16.84018","15.48509","15.77876","15.41168","15.40962","0.6295991","0.5229971","0.6895809","0.816049","0.6265057","2.72E-05","STAR"
"1.24E+18","3.21E+18","17.79503639","-10.24176671","18.06827","16.64643","16.11049","15.91288","15.84428","1740","301","2","139","2849","54454","242","1.572007","1.343313","1.103468","1.185665","1.172815","55.10061","210.72","410.4861","340.0962","435.5474","0.7852879","0.6799796","0.5795713","0.6089703","0.6053442","18.06748","16.10625","16.67585","15.91762","15.85145","0.9033196","0.6957296","0.2771779","0.2498697","0.6066744","6.03E-05","STAR"
"1.24E+18","3.17E+18","25.42232564","-8.509986512","17.31407","15.73049","15.11985","14.90089","14.79295","1729","301","6","250","2816","54400","449","1.5618","1.630255","1.529017","1.469468","1.485396","115.22","494.8916","1055.638","862.8511","1164.218","0.7810924","0.8014344","0.7658811","0.7422113","0.7473786","17.31596","15.11502","15.71781","14.89027","14.78883","0.8904577","0.7501174","0.1000117","0.6779887","0.5804241","0.000119063","STAR"
"1.24E+18","3.23E+18","25.30750428","-8.46699816","19.59188","17.8474","17.1137","16.81715","16.67475","1729","301","6","250","2865","54503","524","1.722538","1.629808","1.516956","1.461414","1.545884","14.51275","70.68871","179.9866","137.2604","209.5924","0.8381435","0.7882985","0.7679743","0.7380565","0.7604126","19.5977","17.10319","17.84006","16.81206","16.67579","0.09848246","0.9998687","0.1411515","0.5238823","0.09100396","-0.000423843","STAR"
"1.24E+18","3.21E+18","25.34254905","-8.439924824","19.03812","17.5711","17.0052","16.82545","16.73084","1729","301","6","250","2850","54461","444","1.666735","1.649452","1.5857","1.504815","1.49723","24.26307","91.71528","183.0995","153.2144","193.1419","0.811457","0.7966053","0.8046845","0.7590696","0.7460534","19.03433","17.00062","17.56214","16.84008","16.72274","0.2977195","0.4000181","0.2464353","0.9953557","0.6180986","0.000326699","STAR"
"1.24E+18","7.47E+17","25.37942189","-8.498809475","18.38894","17.30681","16.91514","16.69109","16.51764","1729","301","6","250","663","52145","576","6.191668","5.216784","5.235018","5.209561","5.238889","49.52182","117.7075","212.0004","171.0649","243.4251","2.858134","2.534674","2.57361","2.528841","2.504642","20.14892","18.6696","19.00938","18.40296","18.23829","0.5664812","0.5951306","0.6028191","0.5977564","0.5312599","0.0269891","GALAXY"
"1.24E+18","3.21E+18","25.45554974","-8.498937876","16.574","15.17259","14.60288","14.40155","14.31526","1729","301","6","251","2850","54461","540","1.562751","1.665219","1.510439","1.478185","1.532464","225.6436","842.8906","1660.126","1395.45","1803.42","0.7878275","0.8115857","0.7556303","0.7487638","0.7579405","16.56423","14.59549","15.13879","14.39366","14.31402","0.9997924","0.9190003","0.9155351","0.9012792","0.3499347","-0.000164465","STAR"
